X1,X2,X3,X4,X5,X6,Y
1,398,111,462,9.05951,11.25390,961
1,328,107,373,8.83491,10.81384,469
1,287,96,356,8.98293,10.92602,3511
2,310,125,587,10.28045,12.40269,9256
1,470,70,414,9.19786,11.01949,556
1,370,106,346,9.42351,11.38852,1252
1,359,110,463,8.84289,11.36694,902
1,337,100,390,9.52981,11.15439,1399
1,339,116,458,8.91570,11.21228,1877
2,290,109,513,10.38887,12.43562,13907
1,351,119,484,8.81105,10.83897,921
1,380,119,493,10.40186,12.22769,6959
2,336,105,460,9.38546,11.39104,2260
2,284,117,506,11.70504,13.66537,73993
1,311,121,486,8.91233,10.99804,494
2,299,96,372,9.64949,11.61746,7255
1,397,117,422,8.84347,10.65124,530
1,284,125,547,8.90910,10.70743,488
1,377,121,510,8.91233,11.28648,1253
1,355,108,413,9.02737,10.70398,878
1,406,110,373,9.10597,11.42671,637
2,281,108,563,8.80192,10.79859,625
1,352,102,413,9.37500,11.37393,3291
1,307,91,341,9.84755,11.65175,2470
1,377,96,379,9.05380,11.16008,916
2,351,120,467,9.76646,11.49217,785
2,336,111,474,9.94280,11.99071,4376
1,353,99,423,9.21243,10.95816,291
2,390,124,594,9.30764,11.65288,1235
1,448,123,501,9.08783,11.28756,525
2,305,100,436,11.93080,13.79489,99448
1,332,100,355,10.64077,12.41086,2921
1,188,127,719,9.05298,12.28072,1159
1,337,102,352,8.84072,11.00208,1138
2,437,124,531,8.99590,11.32535,1097
1,362,121,496,8.86220,11.51983,979
1,378,113,376,9.29798,10.95411,1899
1,280,89,373,9.60211,11.86669,5022
1,368,100,429,9.29862,9.45883,81781